"Measure","Income bracket","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Value_type","Denominator"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2011/12-2013/14","Three-year average","Mixed","ONS 5+2","K02000001","11","%","426"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2011/12-2013/14","Three-year average","Other","ONS 5+2","K02000001","9","%","524"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","7","%","514"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","10","%","56608"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","10","%","54352"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2011/12-2013/14","Three-year average","White other","ONS 5+2","K02000001","11","%","2256"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","9","%","61106"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2011/12-2013/14","Three-year average","Asian other","ONS 5+2","K02000001","9","%","359"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2011/12-2013/14","Three-year average","Asian","ONS 5+2","K02000001","7","%","2226"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","5","%","212"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2011/12-2013/14","Three-year average","Black","ONS 5+2","K02000001","12","%","1322"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","14","%","187"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2011/12-2013/14","Three-year average","Indian","ONS 5+2","K02000001","6","%","954"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2011/12-2013/14","Three-year average","Mixed","ONS 5+2","K02000001","9","%","426"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2011/12-2013/14","Three-year average","Other","ONS 5+2","K02000001","17","%","524"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","8","%","514"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","8","%","56608"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","8","%","54352"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2011/12-2013/14","Three-year average","White other","ONS 5+2","K02000001","9","%","2256"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","7","%","59881"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2012/13-2014/15","Three-year average","Asian other","ONS 5+2","K02000001","12","%","337"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2012/13-2014/15","Three-year average","Asian","ONS 5+2","K02000001","7","%","2252"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","K02000001","8","%","221"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2012/13-2014/15","Three-year average","Black","ONS 5+2","K02000001","7","%","1323"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","K02000001","9","%","198"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2012/13-2014/15","Three-year average","Indian","ONS 5+2","K02000001","6","%","980"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2012/13-2014/15","Three-year average","Mixed","ONS 5+2","K02000001","6","%","433"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2012/13-2014/15","Three-year average","Other","ONS 5+2","K02000001","4","%","473"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","K02000001","3","%","516"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","7","%","55400"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","7","%","53052"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2012/13-2014/15","Three-year average","White other","ONS 5+2","K02000001","7","%","2348"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","5","%","59881"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2012/13-2014/15","Three-year average","Asian other","ONS 5+2","K02000001","8","%","337"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2012/13-2014/15","Three-year average","Asian","ONS 5+2","K02000001","7","%","2252"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","K02000001","5","%","221"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2012/13-2014/15","Three-year average","Black","ONS 5+2","K02000001","3","%","1323"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","K02000001","8","%","198"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2012/13-2014/15","Three-year average","Indian","ONS 5+2","K02000001","8","%","980"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2012/13-2014/15","Three-year average","Mixed","ONS 5+2","K02000001","5","%","433"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2012/13-2014/15","Three-year average","Other","ONS 5+2","K02000001","4","%","473"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","K02000001","4","%","516"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","5","%","55400"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","5","%","53052"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2012/13-2014/15","Three-year average","White other","ONS 5+2","K02000001","4","%","2348"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","3","%","59881"
